180,Conv,34
181,Lala,36
182,Blia,33
183,Conv,34
184,Lala,30
185,Blia,35
186,Conv,38
187,Plai,37
188,Blia,33
189,Conv,41
190,Conv,37
191,Conv,39
192,Conv,38
193,Plai,38
194,Conv,29
195,Lala,37
196,Blia,43
197,Conv,48
198,Blia,45
199,Conv,33
200,Conv,34
201,Plai,36
202,Blia,35
203,Blia,34
204,Lala,42
205,Plai,29
206,Plai,45
207,Conv,41
208,Blia,35
209,Conv,44
210,Blia,47
211,Blia,36
212,Blia,30
213,Conv,46
214,Blia,42
215,Blia,37
216,Blia,42
217,Blia,34
218,Lala,37
219,Conv,46
220,Plai,39
221,Plai,44
222,Lala,33
223,Conv,31
224,Blia,42
225,Blia,31
226,Plai,38
227,Lala,44
228,Conv,39
229,Lala,38
230,Conv,47
231,Conv,36
232,Lala,32
233,Lala,33
234,Lala,31
235,Plai,40
236,Lala,40
237,Plai,33
238,Lala,41
239,Lala,36
240,Plai,35
241,Conv,38
242,Conv,42
243,Blia,30
244,Conv,36
245,Plai,31
246,Blia,31
247,Conv,36
248,Lala,37
249,Conv,31
250,Lala,32
251,Conv,33
252,Lala,34
253,Conv,29
254,Blia,44
255,Blia,38
256,Lala,30
257,Plai,31
258,Lala,48
259,Blia,37
260,Plai,41
261,Plai,39
262,Conv,38
263,Conv,43
264,Conv,45
265,Blia,48
266,Plai,42
267,Lala,40
268,Conv,41
269,Lala,43
270,Lala,40
271,Plai,32
272,Conv,41
273,Blia,36
274,Lala,29
275,Blia,35
276,Blia,43
277,Lala,35
278,Plai,35
279,Conv,40
280,Plai,35
281,Blia,31
282,Blia,44
283,Plai,29
284,Blia,29
285,Conv,31
286,Conv,47
287,Lala,32
288,Lala,36
289,Blia,33
290,Lala,32
291,Blia,42
292,Lala,37
293,Blia,41
294,Blia,44
295,Plai,29
296,Conv,36
297,Lala,30
298,Lala,31
299,Lala,41
300,Plai,44
301,Lala,48
302,Blia,33
303,Lala,46
304,Blia,36
305,Plai,47
306,Plai,48
307,Lala,35
308,Lala,35
309,Lala,35
310,Blia,35
311,Conv,32
312,Conv,29
313,Blia,34
314,Lala,48
315,Blia,40
316,Conv,48
317,Lala,35
318,Conv,38
319,Plai,31
320,Blia,33
321,Plai,42
322,Plai,34
323,Plai,34
324,Blia,42
325,Blia,30
326,Lala,33
327,Lala,46
328,Blia,35
329,Blia,31
330,Conv,29
331,Plai,34
332,Lala,43
333,Plai,47
334,Lala,33
335,Plai,33
336,Conv,34
337,Conv,44
338,Plai,42
339,Lala,34
340,Blia,41
341,Plai,36
342,Blia,29
343,Plai,43
344,Lala,30
345,Lala,43
346,Conv,41
347,Blia,36
348,Blia,42
349,Blia,33
350,Plai,46
351,Conv,33
352,Lala,30
353,Lala,48
354,Conv,31
355,Lala,34
356,Lala,43
357,Lala,37
358,Plai,38
359,Plai,43
360,Conv,45
361,Plai,48
362,Blia,47
363,Blia,43
364,Lala,30
365,Blia,35
366,Plai,45
367,Conv,31
368,Blia,42
369,Conv,42
370,Plai,41
371,Blia,33
372,Blia,43
373,Plai,45
374,Plai,39
375,Plai,30
376,Lala,32
377,Plai,48
378,Blia,36
379,Plai,32
380,Lala,41
381,Conv,31
382,Plai,48
383,Blia,38
384,Conv,29
385,Conv,39
386,Conv,46
387,Plai,48
388,Conv,37
389,Lala,45
390,Blia,41
391,Blia,43
392,Blia,32
393,Plai,30
394,Lala,36
395,Lala,45
396,Blia,36
397,Blia,31
398,Blia,37
399,Conv,37
400,Blia,29
401,Blia,42
402,Plai,29
403,Conv,36
404,Conv,34
405,Lala,46
406,Plai,34
407,Plai,31
408,Conv,31
409,Blia,35
410,Lala,29
411,Lala,40
412,Conv,29
413,Blia,48
414,Conv,30
415,Conv,44
416,Lala,48
417,Blia,31
418,Conv,34
419,Lala,35
420,Lala,46
421,Lala,43
422,Blia,39
423,Lala,47
424,Plai,31
425,Lala,39
426,Blia,40
427,Blia,33
428,Lala,47
429,Plai,31
430,Lala,43
431,Blia,38
432,Plai,38
433,Conv,40
434,Lala,39
435,Blia,45
436,Conv,37
437,Plai,30
438,Lala,35
439,Conv,42
440,Lala,36
441,Blia,47
442,Conv,37
443,Conv,48
444,Blia,43
445,Conv,46
446,Plai,47
447,Blia,44
448,Blia,35
449,Blia,48
450,Plai,43
451,Lala,30
452,Plai,36
453,Blia,33
454,Blia,29
455,Plai,44
456,Lala,38
457,Lala,42
458,Conv,46
459,Blia,31
460,Lala,48
461,Blia,41
462,Lala,38
463,Conv,41
464,Lala,34
465,Blia,35
466,Blia,41
467,Plai,38
468,Blia,37
469,Plai,29
470,Plai,29
471,Lala,29
472,Conv,48
473,Blia,37
474,Plai,33
475,Conv,35
476,Lala,45
477,Plai,32
478,Lala,48
479,Lala,42
480,Lala,44
481,Blia,39
482,Conv,40
483,Lala,45
484,Conv,44
485,Blia,45
486,Lala,32
487,Conv,42
488,Plai,46
489,Lala,39
490,Plai,36
491,Conv,39
492,Lala,47
493,Plai,46
494,Lala,30
495,Conv,45
496,Conv,38
497,Conv,36
498,Blia,43
499,Blia,33
500,Blia,35
501,Conv,46
502,Lala,43
503,Lala,36
504,Lala,37
505,Plai,43
506,Plai,40
507,Lala,29
508,Blia,33
509,Blia,33
510,Conv,31
511,Blia,29
512,Plai,38
513,Conv,37
514,Plai,37
515,Plai,37
516,Plai,37
517,Blia,44
518,Blia,29
519,Plai,47
520,Blia,44
521,Conv,43
522,Blia,36
523,Lala,46
524,Lala,30
525,Conv,44
526,Plai,34
527,Plai,34
528,Conv,39
529,Plai,31
530,Plai,45
531,Lala,48
532,Blia,32
533,Conv,46
534,Blia,39
535,Lala,34
536,Conv,47
537,Blia,44
538,Lala,38
539,Conv,33
540,Lala,40
541,Lala,33
542,Blia,35
543,Blia,30
544,Conv,39
545,Plai,36
546,Lala,42
547,Lala,41
548,Conv,43
549,Blia,39
550,Conv,37
551,Plai,47
552,Conv,39
553,Conv,30
554,Conv,40
555,Plai,37
556,Conv,37
557,Lala,44
558,Blia,36
559,Plai,31
560,Blia,47
561,Plai,31
562,Conv,42
563,Blia,47
564,Plai,34
565,Lala,37
566,Lala,32
567,Conv,32
568,Lala,33
569,Lala,37
570,Plai,30
571,Plai,31
572,Lala,36
573,Conv,38
574,Blia,36
575,Lala,37
576,Lala,37
577,Blia,39
578,Blia,45
579,Conv,48
580,Lala,31
581,Conv,31
582,Blia,40
583,Lala,31
584,Lala,32
585,Blia,34
586,Conv,30
587,Conv,41
588,Lala,30
589,Conv,48
590,Conv,33
591,Blia,35
592,Blia,32
593,Plai,33
594,Lala,31
595,Plai,48
596,Plai,41
597,Blia,37
598,Conv,44
599,Lala,38
600,Lala,29
601,Lala,32
602,Lala,38
603,Conv,35
604,Plai,48
605,Conv,37
606,Blia,42
607,Conv,30
608,Plai,29
609,Lala,35
610,Plai,48
611,Plai,39
612,Plai,38
613,Plai,35
614,Plai,37
615,Conv,32
616,Conv,39
617,Blia,35
618,Plai,45
619,Plai,32
620,Conv,36
621,Plai,32
622,Plai,33
623,Lala,31
624,Blia,41
625,Plai,34
626,Lala,40
627,Lala,34
628,Blia,45
629,Blia,42
630,Blia,38
631,Plai,30
632,Conv,46
633,Plai,38
634,Plai,37
635,Lala,43
636,Plai,41
637,Conv,45
638,Conv,33
639,Conv,30
640,Plai,35
641,Blia,44
642,Lala,41
643,Blia,37
644,Blia,48
645,Plai,35
646,Conv,35
647,Lala,31
648,Conv,36
649,Plai,38
650,Blia,31
651,Lala,46
652,Lala,31
653,Lala,37
654,Plai,38
655,Blia,31
656,Conv,46
657,Lala,46
658,Blia,41
659,Lala,36
660,Conv,44
661,Plai,42
662,Conv,37
663,Plai,38
664,Lala,38
665,Blia,38
666,Lala,30
667,Blia,42
668,Plai,48
669,Plai,31
670,Blia,29
671,Blia,32
672,Conv,31
673,Blia,43
674,Lala,33
675,Conv,40
676,Lala,39
677,Blia,29
678,Plai,33
679,Conv,34
680,Lala,29
681,Blia,41
682,Conv,38
683,Conv,46
684,Lala,42
685,Blia,29
686,Conv,33
687,Conv,43
688,Plai,47
689,Lala,29
690,Plai,46
691,Plai,47
692,Blia,37
693,Plai,33
694,Blia,39
695,Blia,39
