MO,97,Conc,180,Prod3,25,23,0
PO,29,Conc,535.8,Prod6,6,32,1
GR,167,Conv,408,Prod4,12,14,3
HE,91,Conv,132,Prod5,6,15,4
DE,131,Joff,1529.5,Prod1,23,10,4
QU,136,Conc,43.2,Prod3,6,34,4
ME,76,Nati,816,Prod4,24,21,7
FO,66,Conv,154,Prod5,7,13,9
BI,88,Conv,1493.5,Prod7,29,5,15
MO,117,Conv,194.4,Prod3,27,25,15
MO,10,Conv,1130.5,Prod1,17,23,16
ME,129,Conc,352.8,Prod2,28,21,16
OU,190,Conv,170,Prod4,5,28,16
BE,108,Nati,2053.9,Prod6,23,4,17
MO,13,Conv,50.4,Prod3,7,26,19
HE,151,Conc,198,Prod5,9,15,20
MI,35,Joff,108,Prod3,15,22,21
MO,184,Nati,616,Prod5,28,23,21
AI,34,Joff,412,Prod7,8,1,22
CR,20,Nati,598.5,Prod1,9,9,25
QU,134,Joff,731.5,Prod1,11,35,29
MA,155,Nati,198,Prod5,9,19,29
DE,42,Nati,1995,Prod1,30,10,30
AL,73,Conc,110,Prod5,5,2,30
NA,187,Joff,238,Prod4,7,27,31
MO,119,Nati,931,Prod1,14,23,32
CR,156,Nati,1263.5,Prod1,19,8,33
MO,64,Joff,618,Prod7,12,25,37
PH,74,Joff,138.6,Prod2,11,29,38
QU,125,Conc,625.1,Prod6,7,35,39
PI,58,Joff,163.8,Prod2,13,30,41
CE,163,Joff,1081.5,Prod7,21,7,44
MA,47,Joff,803.7,Prod6,9,20,45
QU,96,Conc,43.2,Prod3,6,35,47
MI,122,Joff,357.2,Prod6,4,22,48
AI,39,Joff,267.9,Prod6,3,1,51
NA,1,Conc,75.6,Prod2,6,27,53
DR,38,Joff,154,Prod5,7,11,53
OU,30,Conv,1390.5,Prod7,27,28,54
LA,41,Nati,57.6,Prod3,8,17,55
QU,127,Conc,798,Prod1,12,35,59
EL,182,Joff,616,Prod5,28,12,59
HE,100,Nati,189,Prod2,15,15,60
MO,164,Joff,598.5,Prod1,9,26,62
MO,175,Nati,1995,Prod1,30,25,63
AL,188,Conv,201.6,Prod2,16,2,64
LA,19,Conc,884,Prod4,26,17,69
DR,185,Conv,572,Prod5,26,11,71
AL,62,Nati,918,Prod4,27,2,72
MA,165,Joff,21.6,Prod3,3,20,72
DE,51,Conv,103,Prod7,2,10,77
AN,154,Conv,2500.4,Prod6,28,3,78
PO,16,Nati,154,Prod5,7,32,79
PO,93,Joff,978.5,Prod7,19,32,79
MO,32,Conv,864.5,Prod1,13,23,80
MO,133,Conv,782,Prod4,23,23,80
FO,172,Conc,51.5,Prod7,1,13,80
PL,49,Conv,86.4,Prod3,12,31,85
MA,147,Nati,138.6,Prod2,11,20,85
MO,101,Nati,37.8,Prod2,3,24,88
FO,12,Joff,1287.5,Prod7,25,13,89
PR,50,Nati,170,Prod4,5,33,90
CR,128,Joff,198,Prod5,9,9,90
EL,53,Conc,515,Prod7,10,12,91
QU,86,Conv,2232.5,Prod6,25,34,91
QU,37,Conc,824,Prod7,16,34,95
EL,81,Conc,721,Prod7,14,12,96
MA,115,Conv,1081.5,Prod7,21,20,96
MO,124,Conc,28.8,Prod3,4,26,97
DR,148,Conv,515,Prod7,10,11,97
MA,82,Joff,66,Prod5,3,20,99
MA,176,Joff,462,Prod5,21,20,99
PL,6,Conv,154.5,Prod7,3,31,100
MA,171,Joff,126,Prod2,10,20,102
OU,60,Conv,714,Prod4,21,28,103
HE,162,Joff,108,Prod3,15,16,104
GR,71,Joff,515,Prod7,10,14,105
DE,25,Conc,100.8,Prod2,8,10,106
PR,84,Joff,578,Prod4,17,33,107
BI,153,Conv,72,Prod3,10,6,108
BI,52,Conv,216,Prod3,30,6,109
MI,21,Joff,201.6,Prod3,28,22,111
MI,33,Nati,242,Prod5,11,22,111
QU,157,Conc,1130.5,Prod1,17,34,112
DE,5,Joff,1442,Prod7,28,10,113
RA,139,Conc,446.5,Prod6,5,36,113
MO,181,Conv,272,Prod4,8,26,115
PO,46,Conv,665,Prod1,10,32,116
BI,95,Conv,180,Prod3,25,5,125
PR,98,Conc,57.6,Prod3,8,33,125
AI,104,Conv,133,Prod1,2,1,131
MI,183,Conv,1250.2,Prod6,14,22,131
QU,9,Conv,50.4,Prod3,7,35,132
MA,138,Conv,616,Prod5,28,19,132
QU,114,Conc,1030,Prod7,20,34,135
CR,186,Conc,1729,Prod1,26,9,136
FO,189,Conv,1545,Prod7,30,13,136
PR,109,Conv,220,Prod5,10,33,139
QU,67,Conv,14.4,Prod3,2,35,140
CE,22,Nati,550,Prod5,25,7,141
AL,89,Conc,214.2,Prod2,17,2,141
MO,24,Conc,931,Prod1,14,24,143
CR,44,Joff,352.8,Prod2,28,8,143
QU,142,Nati,332.5,Prod1,5,34,144
CE,146,Conv,1786,Prod6,20,7,148
CR,18,Nati,374,Prod4,11,8,151
HE,121,Joff,446.5,Prod6,5,16,151
MO,26,Joff,252,Prod2,20,23,152
MA,126,Joff,1493.5,Prod7,29,19,154
HE,77,Nati,1236,Prod7,24,16,155
ME,99,Conv,21.6,Prod3,3,21,155
MO,4,Conc,330,Prod5,15,26,159
AN,140,Nati,176,Prod5,8,3,159
RA,179,Nati,1071.6,Prod6,12,36,159
EL,36,Joff,68,Prod4,2,12,161
EL,17,Conc,187.2,Prod3,26,12,164
MI,87,Joff,1236,Prod7,24,22,165
DR,180,Conc,1545,Prod7,30,11,166
OU,14,Joff,997.5,Prod1,15,28,177
AN,135,Conv,1133,Prod7,22,3,177
OU,191,Conc,340,Prod4,10,28,177
HE,152,Joff,782,Prod4,23,15,179
QU,55,Conv,1030,Prod7,20,35,181
PR,130,Joff,100.8,Prod3,14,33,182
LO,169,Joff,442,Prod4,13,18,182
NA,177,Conv,89.3,Prod6,1,27,189
HE,7,Nati,2679,Prod6,30,15,190
MO,59,Conc,638,Prod5,29,25,191
PO,27,Nati,1339,Prod7,26,32,193
EL,57,Conc,816,Prod4,24,12,193
AI,170,Joff,242,Prod5,11,1,194
BE,113,Conc,1287.5,Prod7,25,4,196
NA,166,Conv,2589.7,Prod6,29,27,196
AN,174,Conv,1020,Prod4,30,3,196
NA,63,Joff,884,Prod4,26,27,198
LO,15,Nati,180,Prod3,25,18,200
BI,143,Conc,154,Prod5,7,6,203
QU,120,Nati,264,Prod5,12,34,204
AL,178,Conv,66.5,Prod1,1,2,204
RA,72,Conc,782,Prod4,23,36,206
PO,145,Conc,306,Prod4,9,32,206
QU,8,Conc,412,Prod7,8,34,209
RA,158,Conv,102,Prod4,3,36,209
NA,68,Conv,1184.5,Prod7,23,27,212
QU,168,Joff,612,Prod4,18,35,214
DR,112,Conc,136.8,Prod3,19,11,215
PL,65,Joff,1964.6,Prod6,22,31,216
CR,94,Conv,113.4,Prod2,9,8,216
LO,79,Joff,731.5,Prod1,11,18,217
CR,28,Joff,1160.9,Prod6,13,8,221
AL,54,Conc,1197,Prod1,18,2,226
MO,80,Conc,528,Prod5,24,23,227
AL,149,Conv,1428.8,Prod6,16,2,227
RA,105,Conc,680,Prod4,20,36,233
AN,110,Conv,100.8,Prod2,8,3,234
EL,103,Joff,1795.5,Prod1,27,12,240
OU,111,Conc,2232.5,Prod6,25,28,240
RA,144,Nati,57.6,Prod3,8,36,241
BE,83,Conv,462,Prod5,21,4,242
BI,141,Nati,418,Prod5,19,5,242
BI,161,Nati,66,Prod5,3,6,244
QU,90,Nati,37.8,Prod2,3,35,246
BI,132,Nati,798,Prod1,12,6,248
ME,3,Conc,198,Prod5,9,21,249
GR,159,Nati,515,Prod7,10,14,249
HE,43,Joff,332.5,Prod1,5,16,252
PL,40,Nati,110,Prod5,5,31,253
OU,23,Joff,1287.5,Prod7,25,28,254
CR,31,Conc,1071.6,Prod6,12,9,255
HE,69,Nati,1928.5,Prod1,29,15,256
NA,106,Conv,327.6,Prod2,26,27,257
PH,92,Conc,918,Prod4,27,29,259
MO,78,Nati,88,Prod5,4,25,260
BE,160,Conv,399,Prod1,6,4,262
LA,85,Conc,2232.5,Prod6,25,17,263
MA,116,Nati,12.6,Prod2,1,19,263
MO,11,Conc,242,Prod5,11,26,264
AI,123,Conv,1184.5,Prod7,23,1,264
PI,48,Conv,408,Prod4,12,30,266
MO,56,Conv,1197,Prod1,18,25,266
DE,102,Nati,352,Prod5,16,10,266
FO,70,Nati,1786,Prod6,20,13,270
PH,107,Conc,136.8,Prod3,19,29,272
AL,75,Joff,612,Prod4,18,2,276
LA,45,Conv,220,Prod5,10,17,278
MO,118,Conc,616,Prod5,28,26,284
MO,2,Conv,594,Prod5,27,23,285
LO,150,Conc,798,Prod1,12,18,287
MO,137,Conv,201.6,Prod3,28,25,288
FO,61,Joff,360.5,Prod7,7,13,290
MO,173,Conv,598.5,Prod1,9,24,298
